City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,19.86,64,18,0.45,US,1717975619
1,petropavlovsk-kamchatsky,53.0452,158.6483,16.33,75,75,5.81,RU,1717975722
2,brooks,50.5834,-111.8851,20.99,41,86,2.57,CA,1717975723
3,haiku-pauwela,20.9219,-156.3051,30.12,61,20,10.29,US,1717975724
4,margaret river,-33.95,115.0667,16.19,56,97,10.8,AU,1717975725
5,tombodu,8.1333,-10.6167,23.22,94,32,0.66,SL,1717975726
6,bandarbeyla,9.4942,50.8122,26.91,75,95,12.48,SO,1717975727
7,port elizabeth,-33.918,25.5701,13.37,76,1,1.95,ZA,1717975727
8,fort mcmurray,56.7268,-111.381,14.77,54,100,5.14,CA,1717975728
9,adamstown,-25.066,-130.1015,22.43,74,100,4.36,PN,1717975729
10,bethel,41.3712,-73.414,22.74,63,75,2.57,US,1717975614
11,olonkinbyen,70.9221,-8.7187,-0.88,81,65,7.67,SJ,1717975512
12,waitangi,-43.9535,-176.5597,13.23,96,100,5.81,NZ,1717975731
13,skeldon,5.8833,-57.1333,25.3,89,22,1.77,GY,1717975732
14,san antonio de pale,-1.4014,5.6325,24.76,83,100,5.43,GQ,1717975733
15,bilibino,68.0546,166.4372,11.46,45,14,1.65,RU,1717975733
16,anadyr,64.75,177.4833,10.28,62,0,6.0,RU,1717975734
17,nelidovo,56.2211,32.7774,12.18,93,44,2.37,RU,1717975735
18,yellowknife,62.456,-114.3525,17.45,51,75,3.6,CA,1717975736
19,burutu,5.3509,5.5076,25.58,90,94,2.42,NG,1717975736
20,isafjordur,66.0755,-23.124,4.35,85,71,1.15,IS,1717975737
21,plettenberg bay,-34.0527,23.3716,13.09,68,5,1.2,ZA,1717975738
22,puerto natales,-51.7236,-72.4875,1.26,99,100,2.17,CL,1717975738
23,invercargill,-46.4,168.35,8.34,76,98,4.92,NZ,1717975739
24,whitby,54.4877,-0.615,10.59,86,100,3.59,GB,1717975460
25,cockburn town,21.4612,-71.1419,27.79,85,100,4.77,TC,1717975741
26,papatowai,-46.5619,169.4708,8.28,82,92,4.99,NZ,1717975742
27,ulanhot,46.0833,122.0833,21.41,40,59,4.12,CN,1717975743
28,vilhena,-12.7406,-60.1458,21.12,73,0,2.57,BR,1717975744
29,blackmans bay,-43.0167,147.3167,7.07,89,5,0.89,AU,1717975745
